Unnamed: 0,position,city,specific_position,company_name,company_type,education,ability,experience,min_annual_salary,max_annual_salary,min_company_size,max_company_size
90,python,上海·浦东·金桥,python,外企德科,合资,本科,无要求,1-3年,156000.0,300000.0,1000.0,9999.0
91,python,上海·浦东·金桥,python,外企德科数字技术有限公司,,本科,C# Java Python 嵌入式开发 Web开发 Linux开发,经验不限,210000.0,420000.0,10000.0,
92,python,上海·浦东·金桥,python,其他,民营,大专,无要求,经验不限,132000.0,180000.0,10000.0,
93,python,上海·浦东·金桥,python,外企德科,合资,本科,Python C++ C Mybatis Struts Hibernate PostgreSQL MySQL Oracle,经验不限,210000.0,420000.0,1000.0,9999.0
94,python,上海·浦东·金桥,python,外企德科数字技术有限公司,,本科,无要求,经验不限,225000.0,360000.0,10000.0,
95,python,上海·松江·泗泾,python数据分析师,特瑞机电(上海)股份有限公司,民营,大专,无要求,1-3年,72000.0,144000.0,100.0,299.0
96,python,上海·浦东·金桥,python,外企德科,合资,本科,JavaScript Spring Hibernate C++ C MySQL PostgreSQL,3-5年,210000.0,420000.0,1000.0,9999.0
97,python,上海·浦东·金桥,python开发工程师-上海,外企德科数字技术有限公司,,本科,无要求,经验不限,210000.0,420000.0,10000.0,
98,python,上海·浦东·金桥,python自动化测试,其他,民营,本科,无要求,1-3年,120000.0,144000.0,10000.0,
99,python,上海·浦东·金桥,前后端开发工程师 JAVA C C++ JS GO Python,外企德科,合资,本科,无要求,经验不限,180000.0,360000.0,1000.0,9999.0
101,python,上海·浦东·金桥,python,外企德科数字技术有限公司,,本科,Python C++ C Spring,经验不限,240000.0,480000.0,10000.0,
102,python,上海·浦东·金桥,python,外企德科,合资,本科,无要求,1-3年,210000.0,420000.0,1000.0,9999.0
104,python,上海·浦东·金桥,python,外企德科数字技术有限公司,,本科,C++ C Python,3-5年,240000.0,420000.0,10000.0,
105,python,上海·浦东·金桥,python,外企德科,合资,本科,无要求,经验不限,210000.0,350000.0,1000.0,9999.0
107,python,上海·浦东·金桥,python,外企德科数字技术有限公司,,本科,Python C++ Java,1-3年,180000.0,360000.0,10000.0,
108,python,上海·浦东·金桥,python,外企德科,合资,本科,Python,经验不限,252000.0,392000.0,1000.0,9999.0
109,python,上海·徐汇·虹梅路,vr测试工程师（学信网本科，会代码：python或者C 计算机专业）,其他,股份制企业,本科,无要求,3-5年,144000.0,168000.0,1000.0,9999.0
110,python,上海·青浦·金泽,软件开发和测试 接受应届/导师带教,外企德科数字技术有限公司,,本科,C语言 Java Python 嵌入式开发 Web开发 PyTorch,经验不限,210000.0,420000.0,10000.0,
111,python,上海·嘉定·江桥,上海python开发 (智驾规控测试),其他,国企,本科,无要求,经验不限,132000.0,156000.0,1000.0,9999.0
112,python,上海·浦东·金桥,python,外企德科,合资,本科,无要求,经验不限,210000.0,420000.0,1000.0,9999.0
113,python,上海·浦东·金桥,python,外企德科数字技术有限公司,,本科,无要求,经验不限,210000.0,420000.0,10000.0,
114,python,上海·闵行·新虹,python爬虫工程师,上海西信软件工程有限公司,民营,大专,无要求,5-10年,180000.0,240000.0,100.0,299.0
115,python,上海·浦东·金桥,python,其他,民营,大专,无要求,经验不限,132000.0,180000.0,10000.0,
116,python,上海·浦东·金桥,python,外企德科数字技术有限公司,,本科,无要求,经验不限,210000.0,420000.0,10000.0,
117,python,上海·闵行·浦江,rpa开发实施工程师,八六三软件,国企,大专,Python Linux RPA,1-3年,96000.0,120000.0,500.0,999.0
118,python,上海·徐汇·徐家汇,rpa开发实施工程师,上海智和信息技术有限公司,民营,本科,无要求,3-5年,132000.0,216000.0,20.0,99.0
119,python,上海·浦东·金桥,python,外企德科数字技术有限公司,,本科,无要求,经验不限,182000.0,364000.0,10000.0,
121,python,上海·黄浦·五里桥,爬虫工程师,上海聘贤科技集团有限公司,民营,大专,无要求,3-5年,195000.0,260000.0,100.0,299.0
122,python,上海·浦东·金桥,python,外企德科数字技术有限公司,,本科,无要求,经验不限,272000.0,480000.0,10000.0,
123,python,上海·浦东·金桥,python测试工程师,其他,民营,大专,无要求,1-3年,108000.0,156000.0,10000.0,
124,python,上海·静安·静安寺,python后端开发工程师,北京众策科技咨询有限公司,民营,本科,无要求,3-5年,143000.0,208000.0,20.0,99.0
125,python,上海·浦东·金桥,python,外企德科数字技术有限公司,,本科,无要求,经验不限,210000.0,420000.0,10000.0,
126,python,上海·浦东·陆家嘴,自动化测试（java/python）,其他,民营,本科,无要求,3-5年,156000.0,240000.0,10000.0,
127,python,上海·浦东·金桥,python,外企德科,合资,本科,无要求,经验不限,196000.0,392000.0,1000.0,9999.0
128,python,上海·杨浦·大桥,python,外企德科数字技术有限公司,,本科,无要求,3-5年,192000.0,240000.0,10000.0,
129,python,上海·长宁·新泾,高级Python开发工程师,安徽丹焱信息科技有限公司,民营,大专,JavaScript Django Flask Tornado MySQL MongoDB Redis,5-10年,192000.0,276000.0,20.0,99.0
130,python,上海·黄浦·打浦桥,Python开发工程师,其他,民营,大专,无要求,经验不限,126000.0,224000.0,20.0,99.0
131,python,上海·杨浦·大桥,python,外企德科数字技术有限公司,,本科,无要求,3-5年,204000.0,240000.0,10000.0,
132,python,上海·浦东·金桥,python,外企德科,合资,本科,无要求,经验不限,225000.0,450000.0,1000.0,9999.0
133,python,上海·浦东·陆家嘴,python(现场复试+不加班）,其他,上市公司,本科,无要求,3-5年,192000.0,240000.0,1000.0,9999.0
134,python,上海·浦东·金桥,python,外企德科数字技术有限公司,,本科,无要求,经验不限,168000.0,336000.0,10000.0,
135,python,上海·杨浦·平凉路,python爬虫工程师,其他,上市公司,本科,无要求,经验不限,216000.0,360000.0,1000.0,9999.0
136,python,上海·静安·静安寺,python开发,北京众策科技咨询有限公司,民营,本科,无要求,1-3年,169000.0,195000.0,20.0,99.0
137,python,上海·浦东·金桥,python,外企德科数字技术有限公司,,本科,JavaScript Python C++ Spring,经验不限,225000.0,450000.0,10000.0,
138,python,上海·闵行·虹桥,python开发工程师,其他,民营,本科,无要求,3-5年,216000.0,276000.0,10000.0,
139,python,上海·浦东·金桥,python,外企德科,合资,本科,Java Python C++ 图形图像处理 嵌入式开发 音视频开发 CAD开发 图像识别,经验不限,240000.0,480000.0,1000.0,9999.0
140,python,上海·浦东·金桥,python,外企德科数字技术有限公司,,本科,C语言 Java Python,经验不限,224000.0,420000.0,10000.0,
142,python,上海·浦东·金桥,python自动化测试工程师,其他,民营,本科,无要求,1-3年,120000.0,168000.0,10000.0,
143,python,上海·浦东·金桥,python,外企德科数字技术有限公司,,本科,Java Python C++,1-3年,156000.0,312000.0,10000.0,
144,python,上海·小东门,运维/web/测试/c/c++/java/python,外企德科,合资,本科,无要求,经验不限,252000.0,392000.0,1000.0,9999.0
145,python,上海·闵行·颛桥,软件开发工程师,上海精密计量测试研究所,国企,本科,pytorch YOLO OpenCV MySQL Oracle C++ Python,1-3年,300000.0,360000.0,300.0,499.0
146,python,上海·浦东·金桥,python,外企德科数字技术有限公司,,本科,Python Java C++,1-3年,168000.0,336000.0,10000.0,
147,python,上海·浦东·金桥,python,外企德科,合资,本科,无要求,经验不限,225000.0,450000.0,1000.0,9999.0
148,python,上海·浦东·金桥,物理通信层测试（python））,其他,民营,本科,无要求,1-3年,132000.0,216000.0,10000.0,
149,python,上海·浦东·金桥,python,外企德科数字技术有限公司,,本科,无要求,经验不限,280000.0,420000.0,10000.0,
151,python,上海·浦东·金桥,python,外企德科,合资,本科,无要求,经验不限,238000.0,420000.0,1000.0,9999.0
152,python,上海·浦东·金桥,python工程师/算法工程师,外企德科数字技术有限公司,,本科,无要求,经验不限,168000.0,238000.0,10000.0,
153,python,上海·徐汇·龙华,python,上海从开网络科技有限公司,民营,大专,Python,3-5年,132000.0,228000.0,100.0,299.0
154,python,上海·浦东·金桥,python开发,其他,民营,本科,无要求,3-5年,156000.0,216000.0,10000.0,
155,python,上海·浦东·金桥,python,外企德科数字技术有限公司,,本科,Java Python C++,1-3年,180000.0,360000.0,10000.0,
